Question,Answer
What is admission deadline?,Admission deadline is 30 August
How can I apply?,You can apply through the online admission portal
What documents are required?,CNIC marksheet and passport size photographs are required
Is entry test required?,Yes entry test is compulsory for admission
What is fee structure?,Fee details are available on the university website
Where can I get admission form?,Admission form is available online on the official website
Can I apply online?,Yes online application facility is available
What is minimum percentage required?,Minimum 50 percent marks are required
Is hostel facility available?,Yes hostel facility is available for students
Are scholarships offered?,Yes merit based scholarships are offered
What programs are offered?,Various undergraduate and postgraduate programs are offered
What is application fee?,Application fee is 2000 PKR
How can I pay admission fee?,Fee can be paid through bank or online transfer
Is there any age limit?,No specific age limit for admission
When will classes start?,Classes will start from September
How can I check merit list?,Merit list will be uploaded on the website
Can international students apply?,Yes international students can apply
Is transport facility available?,Yes university transport service is available
What is duration of BS program?,BS program duration is four years
Can I change my program later?,Program change depends on university policy
Is interview required?,Interview may be required for some programs
What is university timing?,University timing is from 8 AM to 4 PM
How many semesters are in BS?,There are eight semesters in BS program
Can I apply after deadline?,Late applications are usually not accepted
Where is university located?,University is located in Karachi
Is attendance compulsory?,Yes minimum attendance is mandatory
How can I contact admission office?,You can contact via email or phone
Are evening classes available?,Yes evening classes are available for selected programs
What grading system is used?,University follows GPA grading system
Can I cancel my admission?,Admission cancellation follows refund policy rules
